ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,price,size,channel_id,order_id,flags,ts_in_delta,sequence,symbol
1654864201100858345,1654864201100846675,160,2,7370,T,A,265760000000,14,0,0,130,11670,11404021,MSFT
1654864201100858345,1654864201100846675,160,2,7370,F,B,265760000000,14,0,12448607,130,11670,11404021,MSFT
1654864201100858345,1654864201100846675,160,2,7370,C,B,265760000000,14,0,12448607,130,11670,11404021,MSFT
1654864201100878961,1654864201100868549,160,2,7370,A,A,265950000000,100,0,12509331,130,10412,11404022,MSFT
1654864201100899733,1654864201100886880,160,2,7370,T,A,265700000000,2,0,0,128,12853,11404028,MSFT
1654864201100899733,1654864201100886880,160,2,7370,F,B,265700000000,2,0,11713363,128,12853,11404028,MSFT
1654864201100899733,1654864201100886880,160,2,7370,C,B,265700000000,2,0,11713363,128,12853,11404028,MSFT
1654864201100918188,1654864201100907886,160,2,7370,A,A,265900000000,100,0,12509383,130,10302,11404030,MSFT
1654864201101184457,1654864201101173171,160,2,7370,A,A,265990000000,100,0,12509475,130,11286,11404044,MSFT
1654864201101903885,1654864201101893644,160,2,7370,C,A,265950000000,100,0,12509331,130,10241,11404066,MSFT
1654864201102090016,1654864201102078647,160,2,7370,C,A,265900000000,100,0,12509383,130,11369,11404082,MSFT
1654864201104775927,1654864201104765074,160,2,7370,A,A,265850000000,100,0,12509707,130,10853,11404199,MSFT
1654864201124873206,1654864201124863293,160,2,7370,C,A,265990000000,100,0,12509475,130,9913,11404961,MSFT
1654864201126685671,1654864201126674989,160,2,7370,C,A,265850000000,100,0,12509707,130,10682,11404998,MSFT
1654864203914065971,1654864203914054466,160,2,7370,A,A,265970000000,100,0,12545979,130,11505,11423654,MSFT
1654864203915069654,1654864203915055569,160,2,7370,T,A,265580000000,1,0,0,0,14085,11423666,MSFT
1654864203915069654,1654864203915055569,160,2,7370,F,B,265580000000,1,0,11166351,0,14085,11423666,MSFT
1654864203915069654,1654864203915055569,160,2,7370,C,B,265580000000,1,0,11166351,0,14085,11423666,MSFT
1654864203915069654,1654864203915055569,160,2,7370,T,A,265580000000,1,0,0,130,14085,11423667,MSFT
1654864203915069654,1654864203915055569,160,2,7370,F,B,265580000000,1,0,11183519,130,14085,11423667,MSFT
1654864203915069654,1654864203915055569,160,2,7370,C,B,265580000000,1,0,11183519,130,14085,11423667,MSFT
1654864203915483884,1654864203915473679,160,2,7370,C,A,265970000000,100,0,12545979,130,10205,11423668,MSFT
1654864204088582798,1654864204088570588,160,2,7370,T,A,265500000000,1,0,0,130,12210,11425337,MSFT
1654864204088582798,1654864204088570588,160,2,7370,F,B,265500000000,1,0,12190967,130,12210,11425337,MSFT
1654864204088582798,1654864204088570588,160,2,7370,C,B,265500000000,1,0,12190967,130,12210,11425337,MSFT
