ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
1654864200000000000,33,2,7370,265760000000,265760000000,261010000000,261060000000,3006,MSFT
1654864260000000000,33,2,7370,261120000000,262070000000,261000000000,261640000000,1616,MSFT
1654864320000000000,33,2,7370,261640000000,262310000000,260780000000,260910000000,3876,MSFT
1654864380000000000,33,2,7370,260800000000,261540000000,260700000000,261300000000,2608,MSFT
1654864440000000000,33,2,7370,261300000000,261500000000,260560000000,260700000000,5598,MSFT
1654864500000000000,33,2,7370,260420000000,261010000000,260240000000,261000000000,2923,MSFT
1654864560000000000,33,2,7370,261050000000,261500000000,261000000000,261500000000,1515,MSFT
1654864620000000000,33,2,7370,261500000000,262040000000,261320000000,261800000000,1882,MSFT
1654864680000000000,33,2,7370,261810000000,261890000000,261100000000,261130000000,1373,MSFT
1654864740000000000,33,2,7370,261130000000,261490000000,261100000000,261100000000,1879,MSFT
1654864800000000000,33,2,7370,261280000000,261700000000,261170000000,261700000000,950,MSFT
1654864860000000000,33,2,7370,261700000000,262290000000,261670000000,262160000000,524,MSFT
1654864920000000000,33,2,7370,262150000000,262300000000,262100000000,262300000000,122,MSFT
1654864980000000000,33,2,7370,262100000000,262100000000,261500000000,261510000000,673,MSFT
1654865040000000000,33,2,7370,261640000000,261660000000,261260000000,261300000000,1861,MSFT
1654865100000000000,33,2,7370,261290000000,262070000000,261270000000,261820000000,1652,MSFT
1654865160000000000,33,2,7370,261850000000,262180000000,261750000000,262180000000,974,MSFT
1654865220000000000,33,2,7370,262170000000,262170000000,261930000000,262000000000,272,MSFT
1654865280000000000,33,2,7370,262020000000,262060000000,261770000000,261990000000,1152,MSFT
1654865340000000000,33,2,7370,261830000000,261990000000,261750000000,261870000000,371,MSFT
1654865400000000000,33,2,7370,261750000000,261750000000,261310000000,261310000000,717,MSFT
1654865460000000000,33,2,7370,261090000000,261120000000,261040000000,261120000000,52,MSFT
1654865520000000000,33,2,7370,261050000000,261210000000,261010000000,261030000000,550,MSFT
1654865580000000000,33,2,7370,261010000000,261300000000,261000000000,261000000000,1511,MSFT
1654865640000000000,33,2,7370,261020000000,261110000000,260860000000,261010000000,5722,MSFT
1654865700000000000,33,2,7370,261000000000,261160000000,260850000000,260850000000,2284,MSFT
1654865760000000000,33,2,7370,260880000000,260880000000,260770000000,260770000000,111,MSFT
1654865820000000000,33,2,7370,260620000000,260840000000,260620000000,260660000000,378,MSFT
1654865880000000000,33,2,7370,260700000000,260700000000,260650000000,260660000000,25,MSFT
1654865940000000000,33,2,7370,260590000000,260600000000,260210000000,260210000000,204,MSFT
1654866000000000000,33,2,7370,260130000000,260300000000,260130000000,260300000000,325,MSFT
1654866060000000000,33,2,7370,260500000000,260840000000,260470000000,260740000000,516,MSFT
1654866120000000000,33,2,7370,260700000000,260860000000,260630000000,260710000000,145,MSFT
1654866180000000000,33,2,7370,260710000000,260710000000,260700000000,260700000000,42,MSFT
1654866240000000000,33,2,7370,261340000000,261410000000,261270000000,261270000000,152,MSFT
1654866300000000000,33,2,7370,261350000000,261370000000,261350000000,261370000000,207,MSFT
1654866360000000000,33,2,7370,261060000000,261100000000,260980000000,261010000000,269,MSFT
1654866420000000000,33,2,7370,260810000000,260900000000,260810000000,260900000000,17,MSFT
1654866480000000000,33,2,7370,260800000000,260850000000,260610000000,260830000000,293,MSFT
1654866540000000000,33,2,7370,260820000000,260840000000,260660000000,260770000000,604,MSFT
1654866600000000000,33,2,7370,260740000000,260890000000,260510000000,260890000000,384,MSFT
1654866660000000000,33,2,7370,260820000000,260900000000,260550000000,260550000000,205,MSFT
1654866720000000000,33,2,7370,260600000000,260800000000,260550000000,260740000000,187,MSFT
1654866780000000000,33,2,7370,260750000000,260780000000,260630000000,260700000000,468,MSFT
1654866840000000000,33,2,7370,260650000000,260660000000,260500000000,260520000000,445,MSFT
1654866900000000000,33,2,7370,260610000000,260770000000,260520000000,260770000000,46,MSFT
1654866960000000000,33,2,7370,260730000000,260850000000,260620000000,260620000000,40,MSFT
1654867020000000000,33,2,7370,260600000000,260730000000,260500000000,260500000000,548,MSFT
1654867080000000000,33,2,7370,260450000000,260560000000,260390000000,260500000000,223,MSFT
1654867140000000000,33,2,7370,260480000000,260500000000,260220000000,260220000000,527,MSFT
1654867200000000000,33,2,7370,260360000000,260500000000,260320000000,260490000000,183,MSFT
1654867260000000000,33,2,7370,260590000000,260590000000,260030000000,260100000000,653,MSFT
